detectorid,starttime,volume,speed,occupancy,status,dqflags
1347,9/15/2011 0:46:20,1,50,2,2,0
1347,9/15/2011 0:46:40,0,,0,0,0
1347,9/15/2011 0:47:00,1,49,3,2,0
1347,9/15/2011 0:47:20,0,,0,0,0
1347,9/15/2011 0:47:40,0,,0,0,0
1347,9/15/2011 0:48:00,1,53,2,2,0
1347,9/15/2011 0:48:20,0,,0,0,0
1347,9/15/2011 0:48:40,0,,0,0,0
1347,9/15/2011 0:49:00,1,49,0,3,0
1347,9/15/2011 0:49:20,1,49,4,2,0
1347,9/15/2011 0:49:40,1,92,0,3,0
1347,9/15/2011 0:50:00,1,24,0,3,0
1347,9/15/2011 0:50:20,2,57,5,2,0
1347,9/15/2011 0:50:40,0,,0,0,0
1347,9/15/2011 0:51:00,3,60,3,2,0
1347,9/15/2011 0:51:20,2,70,4,2,0
1347,9/15/2011 0:51:40,0,,0,0,0
1347,9/15/2011 0:52:00,0,,0,0,0
1347,9/15/2011 0:52:20,2,65,2,2,0
1347,9/15/2011 0:52:40,1,60,0,3,0
1347,9/15/2011 0:53:00,1,63,1,2,0
1347,9/15/2011 0:53:20,0,,0,0,0
1347,9/15/2011 0:53:40,0,,0,0,0
1347,9/15/2011 0:54:00,0,,0,0,0
1347,9/15/2011 0:54:20,0,,0,0,0
1347,9/15/2011 0:54:40,0,,0,0,0
1347,9/15/2011 0:55:00,0,,0,0,0
1347,9/15/2011 0:55:20,2,58,2,2,0
1347,9/15/2011 0:55:40,0,,0,0,0
1347,9/15/2011 0:56:00,1,49,2,2,0
1347,9/15/2011 0:56:20,0,,0,0,0
1347,9/15/2011 0:56:40,0,,0,0,0
1347,9/15/2011 0:57:00,0,,0,0,0
1347,9/15/2011 0:57:20,1,50,1,2,0
1347,9/15/2011 0:57:40,2,65,2,2,0
1347,9/15/2011 0:58:00,2,58,2,2,0
1347,9/15/2011 0:58:20,2,64,2,2,0
1347,9/15/2011 0:58:40,0,,0,0,0
1347,9/15/2011 0:59:00,0,,0,0,0
1347,9/15/2011 0:59:20,3,64,4,2,0
1347,9/15/2011 0:59:40,1,49,0,3,0
